SamplesSubmitted,SequencesReceived,SequencesProcessed,LociRecoverd,DeliveredTo,DeliveredToDate,RAPiDSampleCode,BNet_UI,DNA_Yield,ProbeKit,Date_Extracted,ID,Family,Subfamily,Tribe,Section,Genus,Species,Subspecies,Tissue,QubitAssayConcentration,QubitStockConcentration,FullName,ValidName,DateSentToRapid,ExtractedBy,Contributor,ProjectCode,Type,RAPIDRowSort,RAPIDColumnSort,RAPIDUniqueClientCode,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WB10,BN004842,good,13,7/9/2018,PH-17-M109,Lycaenidae,Theclinae,Arhopalini,Arhopala,Arhopala,ilocana,,Abdomen,0.208,41.6,Arhopala ilocana,Arhopala ilocana,,K. Dexter,CCNY,Arho,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WB11,BN004301,good,13,6/4/2018,VL-05-N261,Nymphalidae,Satyrinae,Satyrini,,Chazara,heydenreichi,,Abdomen,0.208,41.6,Chazara heydenreichi,Chazara heydenreichi,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WB12,BN005645,good,13,8/16/2018,06-srnp-36328,Hesperiidae,Pyrginae,Carcharodini,,Staphylus,evemerus,,Thorax,0.203,40.6,Staphylus evemerus,Staphylus evemerus,,K. Dexter,UMD,Hesp,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WC01,BN005867,good,13,,AM-18-P013,Pieridae,Pierinae,Pierini,,Delias,anamesa,,Abdomen,,40.5,Delias anamesa,Delias anamesa,,CCNY,CCNY,"Deli, Pier",,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WC02,BN004890,good,13,7/9/2018,YI-17-V306,Lycaenidae,Theclinae,Arhopalini,,Flos,adriana,,Abdomen,0.202,40.4,Flos adriana,Flos adriana,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WC03,BN004924,good,13,7/9/2018,ABRI-2016-0628,Nymphalidae,Limenitidinae,Neptini,,Neptis,neavei,,Abdomen,0.202,40.4,Neptis neavei,Neptis swynnertoni,,K. Dexter,CCNY,Nept,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WC04,BN004838,good,13,7/9/2018,PH-17-M029,Nymphalidae,Satyrinae,Satyrini,,Lethe,dataensis,nihirae,Abdomen,0.201,40.2,Lethe dataensis,Lethe dataensis,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WC05,BN004892,good,13,7/9/2018,YI-17-V338,Nymphalidae,Satyrinae,Satyrini,,Lethe,dura,dura,Abdomen,0.199,39.8,Lethe dura,Lethe dura,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WC06,BN005269,good,13,7/27/2018,LEP-43519,Riodinidae,Riodininae,Riodinini,,Calephelis,arizonensis,,Abdomen Soak,0.198,39.6,Calephelis arizonensis,Calephelis arizonensis,,K. Dexter,MGCL,Riod,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WC07,BN005015,good,13,7/11/2018,YI-16-P048,Lycaenidae,Theclinae,Arhopalini,Arhopala,Arhopala,aida,aida,Abdomen,0.197,39.4,Arhopala aida,Arhopala aida,,K. Dexter,CCNY,Arho,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WC08,BN004456,good,13,6/12/2018,DL-16-V256,Nymphalidae,Heliconiinae,Vagrantini,,Cirrochroa,kishii,,Abdomen,0.196,39.2,Cirrochroa kishii,Cirrochroa kishii,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WC09,BN004390,good,13,6/6/2018,CN-17-Z051,Nymphalidae,Satyrinae,Satyrini,Lethina,Neope,agrestis,,Abdomen,0.193,38.6,Neope agrestis,Neope agrestis,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WC10,BN004719,good,13,5/17/2018,CN-16-P039,Nymphalidae,Nymphalinae,Nymphalini,,Araschnia,prorsoides,,Abdomen,0.193,38.6,Araschnia prorsoides,Araschnia prorsoides,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WC11,BN004882,good,13,7/9/2018,YI-16-P264,Nymphalidae,Cyrestinae,Cyrestini,,Chersonesia,risa,risa,Abdomen,0.193,38.6,Chersonesia risa,Chersonesia risa,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WC12,BN001494,good,13,7/1/2016,LEP 27513,Nymphalidae,Apaturinae,,,Asterocampa,clyton,,Thorax,0.191,38.2,Asterocampa clyton,Asterocampa clyton,,K.Dexter,MGCL,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WD01,BN004375,good,13,6/6/2018,BM-16-N008,Pieridae,Pierinae,Pierini,Aporiina,Delias,pheres,approximator,Abdomen,0.191,38.2,Delias pheres,Delias pheres,,K. Dexter,CCNY,"Deli, Pier",,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WD02,BN004208,good,13,5/17/2018,KA-17-0176-ABRI,Nymphalidae,Limenitidinae,Limenitidini,,Pseudacraea,clarkii,,Legs,0.189,37.8,Pseudacraea clarkii,Pseudacraea clarkii,,K. Dexter,CCNY,Lime,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WD03,BN005271,good,13,7/27/2018,LEP-43670,Riodinidae,Riodininae,Emesini,,Apodemia,palmeri,,Abdomen Soak,0.189,37.8,Apodemia palmeri,Apodemia palmerii,,K. Dexter,MGCL,Riod,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WD04,BN004369,good,13,6/6/2018,ARF-17-N059,Nymphalidae,Danainae,Danaini,,Euploea,lapeyrousei,boisduvalii,Abdomen,0.188,37.6,Euploea lapeyrousei,Euploea lapeyrousei,,K. Dexter,CCNY,Dana,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WD05,BN003572,good,13,3/21/2018,LEP 61217,Hesperiidae,Megathyminae,Megathymini,,Stallingsia,smithi,,Abdomen Soak,0.187,37.4,Stallingsia smithi,Stallingsia smithi,,K. Dexter,MGCL,Hesp,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WD06,BN004874,good,13,7/9/2018,YI-16-P043,Nymphalidae,Danainae,Danaini,,Euploea,klugii,erichsonii,Abdomen,0.187,37.4,Euploea klugii,Euploea klugii,,K. Dexter,CCNY,Dana,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WD07,BN004903,good,13,7/9/2018,ABRI-2016-4719,Nymphalidae,Limenitidinae,Neptini,,Neptis,melicertula,,Abdomen,0.187,37.4,Neptis melicertula,Neptis melicerta,,K. Dexter,CCNY,Nept,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WD08,BN004592,good,13,7/3/2018,HD-16-P326,Lycaenidae,Theclinae,Iolaini,Iolaus,Tajuria,cippus,frontinus,Abdomen,0.186,37.2,Tajuria cippus,Tajuria cippus,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WD09,BN004132,good,13,5/15/2018,YI-16-P271,Nymphalidae,Satyrinae,Zetherini,,Ethope,diademoides,diademoides,Thorax,0.185,37,Ethope diademoides,Ethope diademoides,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WD10,BN002360,good,13,6/15/2017,LEP 52255,Pieridae,Coliadinae,,,Colias,nebulosa,nieveata,Abdomen,0.185,37,Colias nebulosa,Colias nebulosa,,K. Dexter,MGCL,Pier,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WD11,BN004610,good,13,7/3/2018,HD-17-F139,Lycaenidae,Theclinae,Arhopalini,Arhopala,Arhopala,cleander,sostrata,Abdomen,0.184,36.8,Arhopala cleander,Arhopala cleander,,K. Dexter,CCNY,Arho,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WD12,BN001476,good,13,7/1/2016,LEP 29034,Nymphalidae,Nymphalinae,Nymphalini,,Araschnia,burejana,strigosa,Legs,0.184,36.8,Araschnia burejana,Araschnia burejana,,K.Dexter,MGCL,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WE01,BN004703,good,13,7/5/2018,IW02,Nymphalidae,Danainae,Danaini,,Euploea,dentiplaga,,Abdomen,0.184,36.8,Euploea dentiplaga,Euploea dentiplaga,,K. Dexter,CCNY,Dana,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WE02,BN005345,good,13,7/31/2018,LEP-47413,Nymphalidae,Nymphalinae,Kallimini,,Hypolimnas,diomea,,Abdomen Soak,0.184,36.8,Hypolimnas diomea,Hypolimnas diomea,,K. Dexter,MGCL,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WE03,BN004915,good,13,7/9/2018,IDR-A01597,Nymphalidae,Limenitidinae,Neptini,,Neptis,alta,,Abdomen,0.181,36.2,Neptis alta,Neptis alta,,K. Dexter,CCNY,Nept,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WE04,BN004646,good,13,7/5/2018,HD-17-Q067,Nymphalidae,Morphinae,Amathusiini,,Taenaris,dimona,,Abdomen,0.18,36,Taenaris dimona,Taenaris dimona,,K. Dexter,CCNY,Amat,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WE05,BN004854,good,13,7/9/2018,TD-16-K033,Nymphalidae,Heliconiinae,Vagrantini,,Cirrochroa,surya,siamensis,Abdomen,0.178,35.6,Cirrochroa surya,Cirrochroa surya,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WE06,BN004142,good,13,5/17/2018,VN-16-D128,Nymphalidae,Satyrinae,Satyrini,,Lethe,melisana,,Thorax,0.177,35.4,Lethe melisana,Lethe melisana,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WE07,BN004648,good,13,7/5/2018,HD-17-Q092,Nymphalidae,Danainae,Danaini,,Euploea,corinna,,Abdomen,0.176,35.2,Euploea corinna,Euploea corinna,,K. Dexter,CCNY,Dana,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WE08,BN005101,good,13,7/17/2018,06-SRNP-751,Nymphalidae,Ithomiinae,Tithoreini,,Tithorea,pinthias,,Thorax,0.176,35.2,Tithorea pinthias,N/A,,K. Dexter,UMD,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WE09,BN001694,good,13,2/19/2016,LEP 31651,Nymphalidae,Danainae,Danaini,Danaina,Danaus,chrysippus,,,0.175,35,Danaus chrysippus,Danaus chrysippus,,Kayla,MGCL,Dana,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WE10,BN004834,good,13,7/9/2018,PH-17-E025,Nymphalidae,Apaturinae,,,Hestinalis,waterstradti,waterstradti,Abdomen,0.175,35,Hestinalis waterstradti,Hestinalis waterstradti,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WE11,BN004360,good,13,6/6/2018,TQ-05-F335,Lycaenidae,Theclinae,Eumaeini,,Eumaeus,toxana,,Abdomen,0.169,33.8,Eumaeus toxana,Eumaeus toxana,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WE12,BN004148,good,13,5/17/2018,VD-16-P010,Nymphalidae,Morphinae,Amathusiini,,Faunis,centrala,,Thorax,0.167,33.4,Faunis centrala,NA,,K. Dexter,CCNY,Amat,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WF01,BN004555,good,13,7/3/2018,HD-16-P017,Lycaenidae,Theclinae,Arhopalini,Arhopala,Arhopala,azenia,,Abdomen,0.164,32.8,Arhopala azenia,Arhopala azenia,,K. Dexter,CCNY,Arho,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WF02,BN004891,good,13,7/9/2018,YI-17-V307,Lycaenidae,Theclinae,Arhopalini,,Flos,anniella,anniella,Abdomen,0.163,32.6,Flos anniella,Flos anniella,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WF03,BN005873,good,13,,SH-18-D026,Pieridae,Pierinae,Pierini,,Delias,nakanokeikoae,nakanokeikoae,,,32.3,Delias nakanokeikoae,Delias nakanokeikoae,,CCNY,CCNY,"Deli, Pier",,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WF04,BN002344,good,13,6/15/2017,LEP 52253,Pieridae,Coliadinae,,,Colias,diva,,Abdomen,0.161,32.2,Colias diva,Colias diva,,K. Dexter,MGCL,Pier,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WF05,BN005039,good,13,7/17/2018,07-SRNP-42188,Hesperiidae,Eudaminae,,,Phocides,pigmalion,,Thorax,0.155,31,Phocides pigmalion,Phocides pigmalion,,K. Dexter,UMD,Hesp,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WF06,BN005546,good,13,8/14/2018,16N371,Pieridae,Pierinae,Anthocharidini,,Anthocharis,damone,,Abdomen,0.155,31,Anthocharis damone,Anthocharis damone,,K. Dexter,CCNY,Pier,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WF07,BN005156,good,13,7/24/2018,LEP 28876,Nymphalidae,Morphinae,Morphini,Morphina,Morpho,peleides,limpida,Abdomen Soak,0.151,30.2,Morpho peleides,N/A,,K. Dexter,MGCL,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WF08,BN004887,good,13,7/9/2018,YI-17-V194,Pieridae,Coliadinae,,,Eurema,novapallida,phukiwoana,Abdomen,0.15,30,Eurema novapallida,Eurema novapallida,,K. Dexter,CCNY,"Eure, Pier",,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WF09,BN002346,good,13,6/15/2017,LEP 52254,Pieridae,Coliadinae,,,Colias,eogene,elissa,Abdomen,0.149,29.8,Colias eogene,Colias eogene,,K. Dexter,MGCL,Pier,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WF10,BN004167,good,13,5/17/2018,HD-16-P152,Nymphalidae,Morphinae,Amathusiini,,Discophora,bambusae,bangkaiensis,Thorax,0.147,29.4,Discophora bambusae,Discophora bambusae,,K. Dexter,CCNY,Amat,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WF11,BN005504,good,13,8/14/2018,DH-18-R036,Pieridae,Coliadinae,,,Eurema,beatrix,,Abdomen,0.147,29.4,Eurema beatrix,Eurema beatrix,,K. Dexter,CCNY,"Eure, Pier",,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WF12,BN004545,good,13,7/3/2018,HD-14-B175,Nymphalidae,Danainae,Danaini,,Parantica,albata,albata,Abdomen,0.145,29,Parantica albata,Parantica albata,,K. Dexter,CCNY,Dana,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WG01,BN005375,good,13,8/2/2018,LEP-53224,Nymphalidae,Nymphalinae,Melitaeini,,Eresia,lansdorfi,,Abdomen Soak,0.141,28.2,Eresia lansdorfi,Eresia lansdorfi,,K. Dexter,MGCL,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WG02,BN004889,good,13,7/9/2018,YI-17-V295,Nymphalidae,Danainae,Danaini,,Euploea,modesta,modesta,Abdomen,0.14,28,Euploea modesta,Euploea modesta,,K. Dexter,CCNY,Dana,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WG03,BN005808,good,13,8/27/2018,08-SRNP-5859,Pieridae,Pierinae,Pierini,Aporiina,Melete,isandra,,Thorax,0.139,27.8,Melete isandra,N/A,,K. Dexter,,Pier,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WG04,BN005474,good,13,8/7/2018,DL-18-S029,Lycaenidae,Theclinae,Arhopalini,Arhopala,Arhopala,ormistoni,,Abdomen,0.138,27.6,Arhopala ormistoni,Arhopala ormistoni,,K. Dexter,CCNY,Arho,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WG05,BN004547,good,13,7/3/2018,HD-14-B197,Nymphalidae,Danainae,Danaini,,Euploea,climena,melina,Abdomen,0.138,27.6,Euploea climena,Euploea climena,,K. Dexter,CCNY,Dana,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WG06,BN004535,good,13,7/3/2018,FM-13-P015,Pieridae,Pierinae,Pierini,Aporiina,Delias,ganymedes,ganymedes,Abdomen,0.137,27.4,Delias ganymedes,Delias ganymedes,,K. Dexter,CCNY,"Deli, Pier",,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WG07,BN005018,good,13,7/11/2018,YI-16-P195,Lycaenidae,Theclinae,Arhopalini,Arhopala,Arhopala,epimete,duessa,Abdomen,0.132,26.4,Arhopala epimete,Arhopala epimete,,K. Dexter,CCNY,Arho,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WG08,BN004929,good,13,7/11/2018,UN-0289,Nymphalidae,Satyrinae,Satyrini,Ypthimina,Ypthima,nareda,,Abdomen,0.132,26.4,Ypthima nareda,Ypthima nareda,,K. Dexter,CCNY,Ypth,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WG09,BN004888,good,13,7/9/2018,YI-17-V298,Pieridae,Coliadinae,,,Eurema,simulatrix,stockleyi,Abdomen,0.131,26.2,Eurema simulatrix,Eurema simulatrix,,K. Dexter,CCNY,"Eure, Pier",,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WG10,BN004190,good,13,5/17/2018,VN-16-D187,Lycaenidae,Theclinae,Arhopalini,Arhopala,Arhopala,corinda,,Thorax,0.13,26,Arhopala corinda,Arhopala corinda,,K. Dexter,CCNY,Arho,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WG11,BN005469,good,13,8/7/2018,DL-18-S021,Pieridae,Pierinae,Pierini,Appiadina,Appias,galene,,Abdomen,0.13,26,Appias galene,Appias galene,,K. Dexter,CCNY,Pier,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WG12,BN004953,good,13,7/11/2018,ABRI-2016-4273,Nymphalidae,Limenitidinae,Neptini,,Neptis,puella,,Abdomen,0.128,25.6,Neptis puella,Neptis puella,,K. Dexter,CCNY,Nept,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WH01,BN005891,good,13,,BM-18-H004,Nymphalidae,Charaxinae,Prothoini,,Prothoe,ribbei,,Abdomen,,24.9,Prothoe ribbei,Prothoe ribbei,,CCNY,CCNY,Char,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WH02,BN005123,good,13,8/7/2018,AYK-04-0533-3,Lycaenidae,Polyommatinae,Polyommatini,,Pseudolucia,collina,,Thorax,0.124,24.8,Pseudolucia collina,Pseudolucia collina,,K. Dexter,UMD,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WH03,BN004403,good,13,6/6/2018,DL-10-Z193,Nymphalidae,Danainae,Danaini,,Euploea,swainson,swainson,Abdomen,0.123,24.6,Euploea swainson,Euploea swainson,,K. Dexter,CCNY,Dana,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WH04,BN004597,good,13,7/3/2018,HD-17-F029,Pieridae,Pierinae,Pierini,Aporiina,Delias,eumolpe,,Abdomen,0.122,24.4,Delias eumolpe,Delias eumolpe,,K. Dexter,CCNY,"Deli, Pier",,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WH05,BN005217,good,13,,SM-12-B017,Lycaenidae,Lycaeninae,,,Lycaena,standfussi,standfussi,,,24.2,Lycaena standfussi,Lycaena standfussi,,Sarah Maunsell,MCZ,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WH06,BN005869,good,13,,SH-18-D018,Pieridae,Pierinae,Pierini,,Delias,callima,,,,23.4,Delias callima,Delias callima,,CCNY,CCNY,"Deli, Pier",,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WH07,BN004161,good,13,5/17/2018,HD-16-P307,Nymphalidae,Morphinae,Amathusiini,,Taenaris,scylla,,Thorax,0.113,22.6,Taenaris scylla,Taenaris scylla,,K. Dexter,CCNY,Amat,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WH08,BN004379,good,13,6/6/2018,CN-16-P030,Nymphalidae,Limenitinae,Neptini,,Neptis,cartica,,Abdomen,0.113,22.6,Neptis cartica,Neptis cartica,,K. Dexter,CCNY,Nept,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WH09,BN004570,good,13,7/3/2018,HD-16-P123,Nymphalidae,Cyrestinae,Cyrestini,,Cyrestis,biaka,,Abdomen,0.112,22.4,Cyrestis biaka,Cyrestis biaka,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WH10,BN004613,good,13,7/3/2018,HD-17-F145,Lycaenidae,Theclinae,Arhopalini,Arhopala,Arhopala,hypomuta,,Abdomen,0.12,22.4,Arhopala hypomuta,Arhopala hypomuta,,K. Dexter,CCNY,Arho,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WH11,BN005070,good,13,7/17/2018,05-SRNP-60681,Hesperiidae,Hesperiinae,Moncini,,Enosis,angularis,,Thorax,0.111,22.2,Enosis angularis,Enosis angularis,,K. Dexter,UMD,Hesp,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P25_WH12,BN004951,good,13,7/11/2018,ABRI-2016-0706,Nymphalidae,Limenitidinae,Neptini,,Neptis,constantiae,,Abdomen,0.103,20.6,Neptis constantiae,Neptis constantiae,,K. Dexter,CCNY,Nept,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WA01,BN004380,good,13,6/6/2018,CN-17-Z002,Pieridae,Pierinae,Pierini,Aporiina,Aporia,lemoulti,,Abdomen,0.103,20.6,Aporia lemoulti,Aporia lemoulti,,K. Dexter,CCNY,Pier,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WA02,BN004602,good,13,7/3/2018,HD-17-F075,Lycaenidae,Theclinae,Arhopalini,Arhopala,Arhopala,meander,,Abdomen,0.102,20.4,Arhopala meander,Arhopala meander,,K. Dexter,CCNY,Arho,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WA03,BN004961,good,13,7/11/2018,IDR-A01474,Nymphalidae,Limenitidinae,Neptini,,Neptis,jordani,,Abdomen,0.101,20.2,Neptis jordani,Neptis jordani,,K. Dexter,CCNY,Nept,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WA04,BN004549,good,13,7/3/2018,HD-14-B213,Nymphalidae,Danainae,Danaini,,Euploea,netscheri,netscheri,Abdomen,0.0981,19.62,Euploea netscheri,Euploea netscheri,,K. Dexter,CCNY,Dana,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WA05,BN004577,good,13,7/3/2018,HD-16-P219,Lycaenidae,Polyommatinae,Polyommatini,Jamides,Jamides,aleuas,aleuas,Abdomen,0.0973,19.46,Jamides aleuas,Jamides aleuas,,K. Dexter,CCNY,Jami,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WA06,BN005868,good,13,,AM-18-P014,Pieridae,Pierinae,Pierini,,Delias,narses,,Abdomen,0.0957,19.1,Delias narses,Delias narses,,CCNY,CCNY,"Deli, Pier",,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WA07,BN004542,good,13,7/3/2018,HD-14-B144,Nymphalidae,Danainae,Danaini,Euploeina,Idea,durvillei,nike,Abdomen,0.0954,19.08,Idea durvillei,Idea durvillei,,K. Dexter,CCNY,Dana,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WA08,BN004168,good,13,5/17/2018,HD-16-P053,Nymphalidae,Satyrinae,Satyrini,,Acrophtalmia,chione,chione,Thorax,0.0943,18.9,Acrophtalmia chione,Acrophtalmia chione,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WA09,BN004773,good,13,8/7/2018,EB-MGCL-HESP-0024,Hesperiidae,Pyrginae,Pyrrhopygini,,Pyrrhopyge,creona,,Abdomen,0.0933,18.7,Pyrrhopyge creona,Pyrrhopyge creona,,K. Dexter,Ernst Brockmann,Hesp,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WA10,BN005874,good,13,,SH-18-D027,Pieridae,Pierinae,Pierini,,Delias,nieuwenhuisi,poponga,,,18.6,Delias nieuwenhuisi,Delias nieuwenhuisi,,CCNY,CCNY,"Deli, Pier",,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WA11,BN003563,good,13,3/21/2018,LEP 61208,Hesperiidae,Pyrginae,Achlyodidini,,Zera,nolckeni,,Abdomen Soak,0.0916,18.3,Zera nolckeni,NA,,K. Dexter,MGCL,Hesp,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WA12,BN002365,good,13,6/15/2017,LEP 52256,Pieridae,Coliadinae,,,Colias,shahfuladi,,Abdomen,0.917,18.3,Colias shahfuladi,Colias shahfuladi,,K. Dexter,MGCL,Pier,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WB01,BN005604,good,13,8/16/2018,RI-18-W084,Nymphalidae,Satyrinae,Satyrini,Ypthimina,Ypthima,asterope,,Abdomen,0.0905,18.1,Ypthima asterope,Ypthima asterope,,K. Dexter,CCNY,Ypth,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WB02,BN004972,good,13,7/11/2018,ABRI-2016-2746,Nymphalidae,Limenitidinae,Neptini,,Neptis,nebrodes,,Abdomen,0.0884,17.7,Neptis nebrodes,Neptis nebrodes,,K. Dexter,CCNY,Nept,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WB03,BN004649,good,13,7/5/2018,HD-17-Q103,Nymphalidae,Danainae,Danaini,,Tirumala,choaspes,,Abdomen,0.0867,17.34,Tirumala choaspes,Tirumala choaspes,,K. Dexter,CCNY,Dana,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WB04,BN005839,good,13,8/27/2018,LEP-41416,Hesperiidae,Pyrginae,Celaenorrhinini,,Celaenorrhinus,putra,putra,Legs,0.0813,16.3,Celaenorrhinus putra,Celaenorrhinus putra,,K. Dexter,MGCL,Hesp,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WB05,BN004618,good,13,7/3/2018,HD-17-F164,Lycaenidae,Theclinae,Arhopalini,Arhopala,Arhopala,aedias,agnis,Abdomen,0.0791,15.8,Arhopala aedias,Arhopala aedias,,K. Dexter,CCNY,Arho,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WB06,BN004462,good,13,6/12/2018,DL-16-Z031,Nymphalidae,Nymphalinae,Kallimini,,Kallima,incognita,,Abdomen,0.0764,15.3,Kallima incognita,NA,,K. Dexter,CCNY,,,,,,,,,,,,
Platting,NA,NA,NA,,,FMN_456206_P26_WB07,BN005111,good,13,7/17/2018,06-SRNP-3320,Hesperiidae,Pyrginae,Pyrgini,,Eracon,lachesis,,Thorax,0.0753,15.1,Eracon lachesis,Eracon lachesis,,K. Dexter,UMD,Hesp,,,,,,,,,,,
